geometry,lat,lon,name,facility_type,category,priority,addr:street,addr:city,addr:postcode,phone,website,opening_hours,operator,capacity,building
POINT (112.73728110175144 -7.247699237399904),-7.247699237399904,112.73728110175144,SD & TK Halimah,school,education,2,,,,,,,,,school
POINT (112.73746324739243 -7.247706143721253),-7.247706143721253,112.73746324739243,SMP Wachid Hasyim,school,education,2,,,,,,,,,school
POINT (112.71645410682913 -7.252786313458035),-7.252786313458035,112.71645410682913,TK Aisyiyah 18 Asem Jajar,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.71456193763888 -7.251861120508527),-7.251861120508527,112.71456193763888,Puskesmas Asem Rowo,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.7152580491232 -7.252032428661655),-7.252032428661655,112.7152580491232,Kantor Kecamatan Asemrowo,government,government,3,,,,,,,,,subdistrict_office
POINT (112.71478068522613 -7.251869935735441),-7.251869935735441,112.71478068522613,SD Negeri Asemrowo,school,education,2,,,,,,,,,school
POINT (112.7150444592914 -7.251937444759956),-7.251937444759956,112.7150444592914,Kantor Kelurahan Asemrowo,government,government,3,,,,,,,,,village_office
POINT (112.71592293248749 -7.242288501442038),-7.242288501442038,112.71592293248749,TK An Nur,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.68171623387599 -7.276701148373247),-7.276701148373247,112.68171623387599,Balai RW XII Kelurahan Lontar,government,government,3,,,,,,,,,community_group_office
POINT (112.67809153908794 -7.280829413306852),-7.280829413306852,112.67809153908794,GKI Darmo Permai,place_of_worship,community,4,,,,,,,,,church
POINT (112.67977251684836 -7.276848528287864),-7.276848528287864,112.67977251684836,Masjid Al Mujahidin,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.67965894950378 -7.275633720590351),-7.275633720590351,112.67965894950378,Rumah Sakit Marien,hospital,healthcare,1,,,,,,,,,hospital
POINT (112.6762179 -7.2807065),-7.2807065,112.6762179,Vihara Dhamma Jaya,place_of_worship,community,4,,,,,,,,,temple
POINT (112.71429867827592 -7.251825690227491),-7.251825690227491,112.71429867827592,TK Hidayah,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.71670165713363 -7.251814772376355),-7.251814772376355,112.71670165713363,TK Asem Jajar,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.71222685000001 -7.231782250000001),-7.231782250000001,112.71222685000001,Gereja GPIB,place_of_worship,community,4,,,,,,,,,church
POINT (112.69631924582981 -7.340282373593753),-7.340282373593753,112.69631924582981,Masjid Alhidayah Karangpilang,place_of_worship,community,4,Jalan Mastrip Karangpilang,Surabaya,60221,,,24/7,,50-100,mosque
POINT (112.66860584439321 -7.283825137426696),-7.283825137426696,112.66860584439321,MI MTs Nyai H. Ashfiyah,school,education,2,,,,,,,,,
POINT (112.66638324723371 -7.284236248535608),-7.284236248535608,112.66638324723371,SMP SMA Shafta,school,education,2,,,,,,,,,
POINT (112.6705202918049 -7.284107969451646),-7.284107969451646,112.6705202918049,Balai RW I Kelurahan Lontar,government,government,3,,,,,,,,,community_group_office
POINT (112.66884840000002 -7.28391525),-7.28391525,112.66884840000002,KB RA Nyai H. Ashfiyah,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.66278078206341 -7.284839969895537),-7.284839969895537,112.66278078206341,Kantor Kelurahan Lontar,government,government,3,,,,,,,,,
POINT (112.67080974834109 -7.284104904500501),-7.284104904500501,112.67080974834109,Klinik Medpoint,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.66601581860951 -7.283256840805854),-7.283256840805854,112.66601581860951,Klinik Miftachul Munir Medika,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.67588312953961 -7.282161194672666),-7.282161194672666,112.67588312953961,Masjid Al Ghofur,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.66273284999998 -7.2850638),-7.2850638,112.66273284999998,Puskesmas Lontar,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.66952035250868 -7.284545580837926),-7.284545580837926,112.66952035250868,Rumah Sakit Lombok Dua dua,hospital,healthcare,1,,,,,,,,,hospital
POINT (112.67202723359468 -7.282220617290344),-7.282220617290344,112.67202723359468,Vihara Dhammajaya,place_of_worship,community,4,,,,,https://viharadhammajaya.org/,,,,temple
POINT (112.72263041070175 -7.243628643427706),-7.243628643427706,112.72263041070175,Toko Barokah dan Isi Ulang,marketplace,community,4,,,,,,,,,marketplace
POINT (112.70371439999998 -7.3204844),-7.3204844,112.70371439999998,Masjid Baitul Fiqri,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.71219112518587 -7.2353399718305695),-7.2353399718305695,112.71219112518587,SMP Swasta Bina Karya,school,education,2,,,,,,,,,school
POINT (112.71185075000001 -7.236221400000002),-7.236221400000002,112.71185075000001,SMP Bina Karya,school,education,2,,,,,,,,,school
POINT (112.72572677776425 -7.2472442992537385),-7.2472442992537385,112.72572677776425,Kantor Kelurahan Gundih,government,government,3,,,,,,,,,village_office
POINT (112.72742391680478 -7.247961533784249),-7.247961533784249,112.72742391680478,SD Ma'arif NU KH.Thohir Bakri,school,education,2,,,,,,,,,school
POINT (112.72539045000002 -7.24724475),-7.24724475,112.72539045000002,Puskesmas Gundih,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.71213595 -7.236215049999999),-7.236215049999999,112.71213595,SD Bina Karya,school,education,2,,,,,,,,,school
POINT (112.73783678913561 -7.223189767536678),-7.223189767536678,112.73783678913561,Terminal Kalimas Barat,bus_station,transport,3,,,,,,,,,
POINT (112.72810772415123 -7.253217057211777),-7.253217057211777,112.72810772415123,TK Al Falah,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.73007585968863 -7.253078528818905),-7.253078528818905,112.73007585968863,Masjid Darun Na'im,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.71951590720697 -7.289570123628074),-7.289570123628074,112.71951590720697,GBI Gibeon,place_of_worship,community,4,,,,,,,,,church
POINT (112.72692265 -7.243395400000001),-7.243395400000001,112.72692265,SD Muhammadiyah 12,school,education,2,,,,,,,,,school
POINT (112.72556045000002 -7.24462675),-7.24462675,112.72556045000002,Masjid At Thoyyyibah,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.72770825 -7.242847300000001),-7.242847300000001,112.72770825,Masjid Jami' Al Mubaarok,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.72583471165646 -7.242766193688879),-7.242766193688879,112.72583471165646,Pasar Dupak Jaya,marketplace,community,4,,,,,,,,,marketplace
POINT (112.72571182436437 -7.244231555998887),-7.244231555998887,112.72571182436437,Masjid Assyuban,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.72675249999999 -7.24372665),-7.24372665,112.72675249999999,TK / SD Nurul Hidayah I,school,education,2,,,,,,,,,school
POINT (112.7259882919361 -7.24319293840765),-7.24319293840765,112.7259882919361,SMP muhammadiyah 7 Dupak Jaya,school,education,2,,,,,,,,,school
POINT (112.72589490255253 -7.244969943790595),-7.244969943790595,112.72589490255253,SD Negeri Gundih,school,education,2,,,,,,,,,school
POINT (112.72931445 -7.25236965),-7.25236965,112.72931445,PAUD Harapan Bunda & TK Bhakti,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.72686440000001 -7.243134300000001),-7.243134300000001,112.72686440000001,TK Bustanul Athfal 11,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.72190505 -7.288974999999996),-7.288974999999996,112.72190505,TK Al Hidayah,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.6660642 -7.347892999999999),-7.347892999999999,112.6660642,Klinik Pratama Rawat Inap Putri Rahayu,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.71133989643283 -7.2332793179643255),-7.2332793179643255,112.71133989643283,Taman Bacaan Masyarakat,community_centre,community,4,,,,,,,,,yes
POINT (112.7348720698319 -7.250384162794103),-7.250384162794103,112.7348720698319,Pos PAUD Terpadu Kasih Bunda,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.7349002 -7.2507098),-7.2507098,112.7349002,Masjid Darul Ulum,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.73615165220403 -7.250328980841923),-7.250328980841923,112.73615165220403,Kantor Kelurahan Alun Alun Contong,government,government,3,,,,,,,,,village_office
POINT (112.73302824999999 -7.251325249999999),-7.251325249999999,112.73302824999999,Masjid Mu'tamar Said,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.73285481317897 -7.25174681693079),-7.25174681693079,112.73285481317897,TK Kemala Bhayangkari,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.73249286885448 -7.253211302028563),-7.253211302028563,112.73249286885448,TK Kartika IV,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.66663446846289 -7.346845653698956),-7.346845653698956,112.66663446846289,Musholla Al Hidayah,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.73405159999999 -7.248162149999999),-7.248162149999999,112.73405159999999,GKT Nazareth,place_of_worship,community,4,,,,,,,,,church
POINT (112.72074282204744 -7.288143929256521),-7.288143929256521,112.72074282204744,GBI Pakis,place_of_worship,community,4,,,,,,,,,church
POINT (112.7231890238622 -7.2876878945259005),-7.2876878945259005,112.7231890238622,Klinik Alma Karya,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.71616484986122 -7.284065721285475),-7.284065721285475,112.71616484986122,Kantor Kecamatan Sawahan,government,government,3,,,,,,,,,subdistrict_office
POINT (112.71756711808442 -7.283766479372104),-7.283766479372104,112.71756711808442,SD Negeri Pakis III,school,education,2,,,,,,,,,school
POINT (112.73535563793273 -7.205315871813865),-7.205315871813865,112.73535563793273,BMKG Stasiun Meteorologi Maritim Perak II Surabaya,government,government,3,,,,,,,,,government_office
POINT (112.72966317820476 -7.217065060280753),-7.217065060280753,112.72966317820476,KUA Kecamatan Pabean Cantian,government,government,3,,,,,,,,,government_office
POINT (112.73546455 -7.205494100000001),-7.205494100000001,112.73546455,Kantor Imigrasi Klas-I Tanjung Perak Tempat Pemeriksaan Imigrasi,government,government,3,,,,,,,,,government_office
POINT (112.70482149160193 -7.277440735206627),-7.277440735206627,112.70482149160193,GBT Aletheia,place_of_worship,community,4,,,,,,,,,church
POINT (112.72288577351256 -7.239419446218777),-7.239419446218777,112.72288577351256,Balai RW III Kelurahan Jepara,government,government,3,,,,,,,,,community_group_office
POINT (112.71821793794292 -7.2825560138817425),-7.2825560138817425,112.71821793794292,Kantor Dinas Kebersihan Cabang Sawahan,government,government,3,,,,,,,,,government_office
POINT (112.70283014510987 -7.277739124459),-7.277739124459,112.70283014510987,Pura Sono Panca Giri,place_of_worship,community,4,,,,,,,,,temple
POINT (112.70100864999999 -7.275438099999999),-7.275438099999999,112.70100864999999,Puskesmas Pembantu Sono Kwijenan,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.67370027162488 -7.311448808021504),-7.311448808021504,112.67370027162488,Masjid Darul Maqrom,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.67364178437492 -7.311659220000678),-7.311659220000678,112.67364178437492,SDIT Darul Arqom,school,education,2,,,,,,,,,school
POINT (112.67380465350952 -7.311314779331791),-7.311314779331791,112.67380465350952,PG - TK Darul Arqom,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.75263644890455 -7.225200318994724),-7.225200318994724,112.75263644890455,SD Negeri Pegirian II,school,education,2,,,,,,,,,
POINT (112.74691859372841 -7.224637863506029),-7.224637863506029,112.74691859372841,Puskesmas Pegirian,clinic,healthcare,1,,,,,,,,,
POINT (112.73294201215992 -7.21386454236472),-7.21386454236472,112.73294201215992,Yayasan Masjid Mujahidin,school,education,2,,,,,,,,,
POINT (112.70485459722121 -7.328847369188581),-7.328847369188581,112.70485459722121,Gedung Serbaguna Warga Kemlaten,community_centre,community,4,,,,,,,,,community_centre
POINT (112.69704502311235 -7.2769154203826645),-7.2769154203826645,112.69704502311235,IPH Schools,school,education,2,,,,,,,,,
POINT (112.69544309445934 -7.275189268102083),-7.275189268102083,112.69544309445934,IPH Schools,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.71993652138022 -7.255907254188848),-7.255907254188848,112.71993652138022,TK Tribina,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.70251510927281 -7.316684374692176),-7.316684374692176,112.70251510927281,Masjid Gunung Sari Indah,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.70829078201933 -7.324527248103724),-7.324527248103724,112.70829078201933,Masjid Baiturrahmat,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.71997524999999 -7.2827288),-7.2827288,112.71997524999999,Koramil 0832/01 Sawahan,government,government,3,,,,,,,,,government_office
POINT (112.72100784999999 -7.281929000000001),-7.281929000000001,112.72100784999999,GBI Kristus Penerus,place_of_worship,community,4,,,,,,,,,church
POINT (112.72235629690947 -7.281402940201791),-7.281402940201791,112.72235629690947,Puskesmas Putat Jaya,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.75814068011717 -7.305909318551994),-7.305909318551994,112.75814068011717,Masjid Nurul Faizin,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.7674485 -7.3125295999999995),-7.3125295999999995,112.7674485,Masjid Al-Hanafi,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.76163509668382 -7.310466467039367),-7.310466467039367,112.76163509668382,Masjid Al-Manshur,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.72710939999999 -7.291775850000004),-7.291775850000004,112.72710939999999,TK At-Thohiriyah,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.72717836683533 -7.292054583703909),-7.292054583703909,112.72717836683533,Masjid At-Thohiriyah,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.70658832225254 -7.326060982484684),-7.326060982484684,112.70658832225254,Masjid Al Iqsan,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.67518810126714 -7.285888954678415),-7.285888954678415,112.67518810126714,Sampoerna Academy,school,education,2,,,,,,,,,
POINT (112.72729335000001 -7.26277675),-7.26277675,112.72729335000001,Gereja Isa Al Masih,place_of_worship,community,4,,,,,,,,,church
POINT (112.72700323712377 -7.262617522677829),-7.262617522677829,112.72700323712377,Gereja Kebangunan Kalam Allah,place_of_worship,community,4,,,,,,,,,church
POINT (112.7410757 -7.2467558),-7.2467558,112.7410757,Gereja Kristen Indonesia Sulung,place_of_worship,community,4,,,,,,,,,church
POINT (112.74039164461908 -7.245883353278062),-7.245883353278062,112.74039164461908,Kantor Sekretariat Daerah Provinsi Jawa Timur,government,government,3,,,,,,,,,government_office
POINT (112.7366801 -7.25052995),-7.25052995,112.7366801,Masjid Asy Syakur,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.74060869999998 -7.246715049999999),-7.246715049999999,112.74060869999998,SD Negeri Alun Alun Contong I,school,education,2,,,,,,,,,school
POINT (112.74182705 -7.2471109),-7.2471109,112.74182705,Vihara Mahavira Graha,place_of_worship,community,4,,,,,,,,,temple
POINT (112.74252063691169 -7.245759002483473),-7.245759002483473,112.74252063691169,SMK YPPI,school,education,2,,,,,,,,,
POINT (112.68661722918654 -7.271610891060195),-7.271610891060195,112.68661722918654,Gereja Isa Almasih Surabaya,place_of_worship,community,4,,,,,,,,,church
POINT (112.69096298307439 -7.2689428657843544),-7.2689428657843544,112.69096298307439,Klinik Kasih Karunia,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.71487452189963 -7.23185895507451),-7.23185895507451,112.71487452189963,SD MA'arif Nurul Ulum,school,education,2,,,,,,,,,school
POINT (112.7407744 -7.246627),-7.246627,112.7407744,Balai RW I Sulung,government,government,3,,,,,,,,,community_group_office
POINT (112.74136215 -7.245675750000002),-7.245675750000002,112.74136215,DPMPTSP Provinsi Jawa Timur,government,government,3,,,,,,,,,government_office
POINT (112.7410469507946 -7.245633419095837),-7.245633419095837,112.7410469507946,Kantor Pengelola Keuangan Dan Aset Daerah,government,government,3,,,,,,,,,government_office
POINT (112.74146148004122 -7.2444182577278005),-7.2444182577278005,112.74146148004122,TK Putri Budi Sejati,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.72833505 -7.249837949999999),-7.249837949999999,112.72833505,TK Al Izah,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.72835337635944 -7.248659644138337),-7.248659644138337,112.72835337635944,Sekolah Luar Biasa Purna Yudha Bakti,school,education,2,,,,,,,,,school
POINT (112.68744302743474 -7.271689425967314),-7.271689425967314,112.68744302743474,SD Kristen Petra 10,school,education,2,,,,,,,,,school
POINT (112.73487353209894 -7.2342222539657275),-7.2342222539657275,112.73487353209894,SMP Negeri 38 Surabaya,school,education,2,Jl. KUTILANG NO. 9 - 11 SURABAYA,Surabaya,60175,,http://smpn38sbysekolahku.blogspot.com,,Maps,,
POINT (112.73135929180148 -7.23490134261252),-7.23490134261252,112.73135929180148,SMP Negeri 5 Surabaya,school,education,2,,,,,,,,,
POINT (112.73214774691941 -7.239702584663907),-7.239702584663907,112.73214774691941,SMA Katholik Stella Maris,school,education,2,,,,,,,,,
POINT (112.75804489102471 -7.215630560725123),-7.215630560725123,112.75804489102471,SMP PGRI 6,school,education,2,,,,,,,,,
POINT (112.72646010000003 -7.289009500000004),-7.289009500000004,112.72646010000003,Gereja Berita Hidup,place_of_worship,community,4,,,,,,,,,church
POINT (112.72591394999998 -7.2893142),-7.2893142,112.72591394999998,Gereja Kristusinjili Maranata,place_of_worship,community,4,,,,,,,,,church
POINT (112.73561952981926 -7.240559869601335),-7.240559869601335,112.73561952981926,SD Negeri Krembangan Selatan 7,school,education,2,,,,,,,,,
POINT (112.73755722384081 -7.24270280759898),-7.24270280759898,112.73755722384081,Kantor Pos Kebon Rojo,post_office,government,3,,,,,,,Pos Indonesia,,
POINT (112.73619424345542 -7.238657003485375),-7.238657003485375,112.73619424345542,Polrestabes Krembangan,police,emergency,1,,Surabaya,,,,,,,
POINT (112.73620711352454 -7.242653670277066),-7.242653670277066,112.73620711352454,SMP Negeri 2 Surabaya,school,education,2,Jalan Kepanjen no.1,Surabaya,60175,,http://smpn2surabaya.blogspot.com/,,,,
POINT (112.73569651804644 -7.241944504192481),-7.241944504192481,112.73569651804644,Asrama Santa Yuli (PG-TKK Taman Rini SDK Santa Angela),school,education,2,,,,,,,,,
POINT (112.73299527003482 -7.24230083674325),-7.24230083674325,112.73299527003482,Kementrian Keuangan Republik Indonesia,government,government,3,,,,,,,,,
POINT (112.73567794607939 -7.242885981313863),-7.242885981313863,112.73567794607939,"TK, SD, SMP, dan SMA TA'Miriyah",school,education,2,,,,,,,,,
POINT (112.72674454505216 -7.2495086819672725),-7.2495086819672725,112.72674454505216,Masjid Karimullah,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.726511 -7.290401299999999),-7.290401299999999,112.726511,Masjid Thoriqul Jannah,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.73092705 -7.258574149999999),-7.258574149999999,112.73092705,Sekolah Advent Anjasmoro,school,education,2,,,,,,,,,yes
POINT (112.69707670255437 -7.295683819072993),-7.295683819072993,112.69707670255437,Kadin Instisut Jawa Timur,government,government,3,,,,,,,,,government_office
POINT (112.69510087345529 -7.270797954082544),-7.270797954082544,112.69510087345529,SMA Kristen Gloria I,school,education,2,,,,,,,,,school
POINT (112.72919055 -7.28953255),-7.28953255,112.72919055,TK Pakis Jaya,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.73348907175823 -7.2565298012056045),-7.2565298012056045,112.73348907175823,Pasar Blauran Baru,marketplace,community,4,,,,,,,,,marketplace
POINT (112.6977828 -7.275076049999998),-7.275076049999998,112.6977828,Institute IKAIDO,university,education,2,,,,,,,,,university
POINT (112.71154805 -7.23628945),-7.23628945,112.71154805,TK Al Firdaus,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.73325762213197 -7.247855154471627),-7.247855154471627,112.73325762213197,PAUD Permata Bunda,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.73407644999998 -7.250963099999999),-7.250963099999999,112.73407644999998,SMP Negeri 43 Surabaya,school,education,2,,,,,,,,,school
POINT (112.73503328626535 -7.251317516910131),-7.251317516910131,112.73503328626535,Polsek Bubutan,police,emergency,1,,,,,,,,,police
POINT (112.70333755004596 -7.315276801695797),-7.315276801695797,112.70333755004596,Masjid Abu Adenan,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.69076310952218 -7.314416413329482),-7.314416413329482,112.69076310952218,Unit Pelaksana Teknis LLAJ Surabaya,government,government,3,,,,,,,,,government_office
POINT (112.70686674999999 -7.322501099999998),-7.322501099999998,112.70686674999999,Masjid Baitul Arqom,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.7068241751275 -7.312873991934725),-7.312873991934725,112.7068241751275,GPT Kristus Kasih,place_of_worship,community,4,,,,,,,,,church
POINT (112.70264335000002 -7.317434650000001),-7.317434650000001,112.70264335000002,Balai RT 5 RW 6,government,government,3,,,,,,,,,yes
POINT (112.75678545017345 -7.210205680000495),-7.210205680000495,112.75678545017345,SMP Negeri 27 Surabaya,school,education,2,,,,,,,,,
POINT (112.69995754858031 -7.3143370584891185),-7.3143370584891185,112.69995754858031,Kantor Kelurahan Jajar Tunggal,government,government,3,,,,,,,,,
POINT (112.70608107961738 -7.3121237425622345),-7.3121237425622345,112.70608107961738,Masjid As' Shobirin,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.70961402429674 -7.312171360607279),-7.312171360607279,112.70961402429674,SD Muhammadiyah 15 Surabaya,school,education,2,,,,,,,,,
POINT (112.71100996148289 -7.307237439703818),-7.307237439703818,112.71100996148289,SD Negeri Jajar Tunggal I,school,education,2,,,,,,,,,school
POINT (112.70925626506018 -7.311808267078552),-7.311808267078552,112.70925626506018,SMA Muhammadiyah 9 Surabaya,school,education,2,,,,,,,,,school
POINT (112.70947285000003 -7.3104751000000014),-7.3104751000000014,112.70947285000003,TPA - KB - TK Dewi Sartika,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.70080184257527 -7.3142324281632565),-7.3142324281632565,112.70080184257527,Universitas Wijaya Putra Kampus Wiyung,university,education,2,,,,,,,,,
POINT (112.70396660000003 -7.315047900000001),-7.315047900000001,112.70396660000003,Balai RT 02 RW VI,government,government,3,,,,,,,,,yes
POINT (112.70917722941186 -7.312040546952362),-7.312040546952362,112.70917722941186,SMP Muhammadiyah 17 Surabaya,school,education,2,,,,,,,,,school
POINT (112.70150212010873 -7.33400815781019),-7.33400815781019,112.70150212010873,Puskesmas Pembantu Kebraon,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.71862318128129 -7.3384258088315075),-7.3384258088315075,112.71862318128129,TK Dunia Anak,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.72971187838426 -7.332971718753966),-7.332971718753966,112.72971187838426,Dinas Peternakan,government,government,3,,,,,,,,,government_office
POINT (112.72867966929275 -7.3363526610428185),-7.3363526610428185,112.72867966929275,Dinas Komunikasi Dan Informatika,government,government,3,,,,,,,,,government_office
POINT (112.72462069981536 -7.344236046048641),-7.344236046048641,112.72462069981536,Masjid Zakaria,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.7187724649039 -7.339726230563286),-7.339726230563286,112.7187724649039,Kantor Balai RW IV Wisma Menanggal,government,government,3,,,,,,,,,community_group_office
POINT (112.72854325 -7.34012085),-7.34012085,112.72854325,Dinas Perhubungan Provinsi Jawa Timur,government,government,3,,,,,,,,,government_office
POINT (112.7267066964911 -7.344422679200504),-7.344422679200504,112.7267066964911,Pengadilan Hubungan Industrial,government,government,3,,,,,,,,,government_office
POINT (112.7277213874234 -7.330190009683715),-7.330190009683715,112.7277213874234,Masjid Al - Ikhwan,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.7258638 -7.336622950000001),-7.336622950000001,112.7258638,Masjid Baitul Hikmah,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.71808194999998 -7.33964635),-7.33964635,112.71808194999998,Masjid Al Wahyu,place_of_worship,community,4,,,,,,,,,mosque
POINT (112.72696365000002 -7.330353349999999),-7.330353349999999,112.72696365000002,Pemberdayaan Dan Kesejahteraan Keluarga PKK,government,government,3,,,,,,,,,government_office
POINT (112.7186968165972 -7.338101733181829),-7.338101733181829,112.7186968165972,Puskesmas Gayungan,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.7286686543667 -7.340423480281768),-7.340423480281768,112.7286686543667,Dinas Perhubungan dan LLAJ,government,government,3,,,,,,,,,government_office
POINT (112.7064957762393 -7.324138065774634),-7.324138065774634,112.7064957762393,SMP Negeri 16 Surabaya,school,education,2,,,,,,,,,
POINT (112.73455050293448 -7.198911810329608),-7.198911810329608,112.73455050293448,Ujung Baru,bus_station,transport,3,,,,,,,,,
POINT (112.73090251779288 -7.208499771740105),-7.208499771740105,112.73090251779288,Kantor Kepolisian Jawa Timur Direktorat Kepolisian Perairan,police,emergency,1,,,,,,,,,
POINT (112.7319222885097 -7.2204738844848855),-7.2204738844848855,112.7319222885097,Yayasan Barunawati Biru,school,education,2,,,,,,,,,
POINT (112.72904336362397 -7.217492602336488),-7.217492602336488,112.72904336362397,SMK KAL-2 Surabaya,school,education,2,,,,,,,,,
POINT (112.7197016744804 -7.239315395281366),-7.239315395281366,112.7197016744804,SD Muhammadiyah 11 Surabaya,school,education,2,,,,,,,,,yes
POINT (112.71718344061885 -7.239049226077012),-7.239049226077012,112.71718344061885,Pasar Bangun Rejo,marketplace,community,4,,,,,,,,,marketplace
POINT (112.71751207620156 -7.23789160462706),-7.23789160462706,112.71751207620156,"KB, TK, MI, SD Islam Sabilas Salam",school,education,2,,,,,,,,,school
POINT (112.71767247540483 -7.239888602630461),-7.239888602630461,112.71767247540483,SMP Tunas Buana,school,education,2,,,,,,,,,school
POINT (112.71726505000001 -7.239351799999999),-7.239351799999999,112.71726505000001,Puskesmas Dupak,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.71877299027292 -7.2421880249022434),-7.2421880249022434,112.71877299027292,Balai Pengobatan dan Rumah Bersalin Al Azhar,clinic,healthcare,1,,,,,,,,,clinic
POINT (112.71910120000001 -7.24244385),-7.24244385,112.71910120000001,TK ABA 40,kindergarten,education,2,,,,,,,,,kindergarten
POINT (112.71930637198828 -7.253095110301387),-7.253095110301387,112.71930637198828,Kantor Kelurahan Tembok Dukuh,government,government,3,,,,,,,,,village_office
POINT (112.73391068522612 -7.252298214183666),-7.252298214183666,112.73391068522612,"KB, TK, SD, SMP, SMA Pirngadi",school,education,2,,,,,,,,,
POINT (112.73396604636034 -7.251989910319559),-7.251989910319559,112.73396604636034,SD Negeri Bubutan II,school,education,2,,,,,,,,,
POINT (112.73469684285804 -7.252494270523482),-7.252494270523482,112.73469684285804,GPIB Immanuel,place_of_worship,community,4,,,,,,,,,church
POINT (112.7311346508198 -7.251890620520373),-7.251890620520373,112.7311346508198,Gereja Kristus Tuhan Jemaat Hosana,place_of_worship,community,4,,,,,,,,,church
POINT (112.73443010238445 -7.251833080727447),-7.251833080727447,112.73443010238445,Kantor Pos Koblen,post_office,government,3,,,,,,,,,post_office
POINT (112.73411724815998 -7.251644491522402),-7.251644491522402,112.73411724815998,Kantor Kecamatan Bubutan,government,government,3,,,,,,,,,subdistrict_office
POINT (112.73352264159949 -7.253325270381136),-7.253325270381136,112.73352264159949,Kantor Kelurahan Bubutan,government,government,3,,,,,,,,,village_office
POINT (112.73365975 -7.254166600000001),-7.254166600000001,112.73365975,SD Negeri Bubutan III,school,education,2,,,,,,,,,school
POINT (112.72908917188578 -7.254108374370689),-7.254108374370689,112.72908917188578,SD Negeri Bubutan VIII,school,education,2,,,,,,,,,school
POINT (112.73508091397059 -7.250478690339836),-7.250478690339836,112.73508091397059,SMK Bubutan Surabaya,school,education,2,,,,,,,,,
POINT (112.70843921469178 -7.256703480365942),-7.256703480365942,112.70843921469178,Masjid Ar-Rohmah,place_of_worship,community,4,,,,,,,,,mosque
